Exchange|Security Type|Symbol|Root symbol (for opt|Listed Currency|Company name|Additional company n|ISIN code|Contract name|Local instrument cod|Country|Market specific secu|Market specific segm|Listing market for t|Original exchange co|Exchange code|QS Symbol Suffix|Sedol|MS Performance ID|Global ID investment|MS Listing Exchange |MS Extended Support |Morningstar ID|Fund Type
146|2|AGL6K2101|AGL|AUD|||AU000AGLG892|24-NOV-16 C OPT 2101 [AGLG89]|AGLG89|AU|||146||XASX|ax|||||0||
146|2|AGL6K2150|AGL|AUD|||AU000AGLD691|24-NOV-16 C OPT 2150 [AGLD69]|AGLD69|AU|||146||XASX|ax|||||0||
146|2|AGL6K2151|AGL|AUD|||AU000AGLG991|24-NOV-16 C OPT 2151 [AGLG99]|AGLG99|AU|||146||XASX|ax|||||0||
146|2|AGL6K2200|AGL|AUD|||AU000AGLD295|24-NOV-16 C OPT 2200 [AGLD29]|AGLD29|AU|||146||XASX|ax|||||0||
146|2|AGL6K2201|AGL|AUD|||AU000AGLGM98|24-NOV-16 C OPT 2201 [AGLGM9]|AGLGM9|AU|||146||XASX|ax|||||0||
146|2|AGL6K2250|AGL|AUD|||AU000AGLDT94|24-NOV-16 C OPT 2250 [AGLDT9]|AGLDT9|AU|||146||XASX|ax|||||0||
146|2|AGL6K2300|AGL|AUD|||AU000AGLGV97|24-NOV-16 C OPT 2300 [AGLGV9]|AGLGV9|AU|||146||XASX|ax|||||0||
146|2|AGL6K2350|AGL|AUD|||AU000AGLIH93|24-NOV-16 C OPT 2350 [AGLIH9]|AGLIH9|AU|||146||XASX|ax|||||0||
146|2|AGL6K2400|AGL|AUD|||AU000AGLJ292|24-NOV-16 C OPT 2400 [AGLJ29]|AGLJ29|AU|||146||XASX|ax|||||0||
146|2|AGL6K2450|AGL|AUD|||AU000AGLKW90|24-NOV-16 COPT2450 [AGLKW9]|AGLKW9|AU|||146||XASX|ax|||||0||
146|2|AGL6L1|AGL|AUD|||AU000AGLT986|22-DEC-16 C OPT 1 [AGLT98]|AGLT98|AU|||146||XASX|ax|||||0||
146|2|AGL6L1300|AGL|AUD|||AU000AGLIO86|22-DEC-16 C OPT 1300 [AGLIO8]|AGLIO8|AU|||146||XASX|ax|||||0||
146|2|AGL6L1350|AGL|AUD|||AU000AGLIH85|22-DEC-16 C OPT 1350 [AGLIH8]|AGLIH8|AU|||146||XASX|ax|||||0||
146|2|AGL6L1400|AGL|AUD|||AU000AGLI286|22-DEC-16 C OPT 1400 [AGLI28]|AGLI28|AU|||146||XASX|ax|||||0||
146|2|AGL6L1401|AGL|AUD|||AU000AGLZE87|22-DEC-16 C OPT 1401 [AGLZE8]|AGLZE8|AU|||146||XASX|ax|||||0||
146|2|AGL6L1425|AGL|AUD|||AU000AGLU182|22-DEC-16 C OPT 1425 [AGLU18]|AGLU18|AU|||146||XASX|ax|||||0||
